token,score
অকুস্থল,0.05665898103050247
অঙ্গাঙ্গিভাব,0.05603938662721833
অতলান্তিক,0.06879822550063801
অনুশীলন,0.028417754443459866
অপরাধ,0.022060548479296904
অবস্থান,0.032462545537314244
অভিধান,0.04729025240858795
অভিনয়,0.1659858945005715
অভিনয়শিল্পী,0.18121562298952534
অভিনেত,0.03665756470969712
অভিনেতা,0.07198095000413145
অর্থ,0.015391081304169517
অর্থাৎ,0.018885321058800135
অসত্য,0.32394310393530074
অসহায়,0.04792565335234179
অসৎ,0.04007102904219596
অ্যান্ড,0.019122404675914972
আক্রান্ত,0.023980481539819937
আত্মীয়,0.043133721035356475
আদ,0.03491802608096719
আপনা,0.07297192415769194
আবুল,0.022619435098187948
আম,0.026655495451563597
আমেরিক,0.05879164921505749
আরেক,0.01550220721531152
আরেকজন,0.031025369644295083
আশাবাদী,0.030334628558091378
আস,0.008674200577156973
আসল,0.06790249111802958
ইচ্ছাকৃতভাব,0.0859797214342124
ইচ্ছাম,0.0886906796766382
উক্তি,0.07809146295375176
উঠ,0.011466453614951511
উত্তর,0.025794998897575843
উদাহরণ,0.025577679293897915
উদ্দেশ্য,0.04283009279053431
উপস্থাপন,0.10569852326321902
উৎসব,0.025134851879720345
এক,0.020675269027026
একজন,0.03356484607035654
একবচন,0.06302371829474104
একা,0.026071907413001232
এখানক,0.03179038362372699
এস,0.012639328080150287
ওপর,0.02876228154772477
কঠিন,0.01777249184123941
কথা,0.034820691759295835
কথায়,0.04209859355693935
কদিন,0.033118275446635
কবর,0.03746221983387137
কর,0.04357109347155048
করছি,0.026943788525027018
করানো,0.03208189145963167
কাজ,0.007728329260170461
কাঠগড়ায়,0.056342446983371056
কারণ,0.008877944862188918
কিছুদিন,0.021911415414742993
কৃষক,0.08615524556787729
কোথা,0.038063089500614634
কোথায়,0.03857083263242214
ক্যানসার,0.038777999055918326
ক্ষমত,0.025824766575983548
খা,0.01504051386652325
খারাপ,0.019469914931762384
খুঁজ,0.01944551652076435
খোঁজ,0.025374792534033457
গল্প,0.08345380470663333
গাড়ি,0.03250461755353857
গাড়ির,0.04161289327915519
গিয়,0.02950930658787525
গীতা,0.04939692109884954
গে,0.023546655186230985
গ্রাম,0.01796912412169511
গ্রিক,0.04411926232446002
ঘটব,0.029989877937671043
ঘটেনি,0.03206139980935317
চরম,0.025307107182110322
চলাফ,0.03807784387543697
চালু,0.020874074546609746
চুটকি,0.05849494178246661
চেয়,0.030302588713001764
চেষ্,0.01265405994155198
ছেড়,0.03074778639423807
ছোট,0.03482356167437496
জড়িত,0.06451698655223194
জন্মগতভাব,0.0520544501489052
জাগ,0.03444509922311085
জাগা,0.03970262739844669
জানি,0.02095533430385664
জে,0.03400163495073357
জেন,0.021387570437482854
টানাহেঁচড়া,0.060405207663175114
ডাক্ত,0.03352110406958857
তখন,0.024187380958686555
তখনো,0.030554752297249237
তাহা,0.05081290695529028
তিন,0.02981397753474519
তিনি,0.02923579891671125
তেমনি,0.02168149564990972
